algorithm n comparisons time
bubble 0 0 0.000000036
insertion-smart 0 0 0.000000049
insertion-dump 0 0 0.00000002
selection 0 0 0.000000037
quick 0 0 0.000000024
std 0 0 0.00000012
bubble 0 0 0.000000023
insertion-smart 0 0 0.00000002
insertion-dump 0 0 0.00000002
selection 0 0 0.000000019
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 0 0 0.000000017
insertion-smart 0 0 0.00000002
insertion-dump 0 0 0.000000019
selection 0 0 0.00000002
quick 0 0 0.000000018
std 0 0 0.00000002
bubble 0 0 0.000000016
insertion-smart 0 0 0.00000002
insertion-dump 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 0 0 0.000000018
insertion-smart 0 0 0.000000019
insertion-dump 0 0 0.000000018
selection 0 0 0.00000002
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 0 0 0.000000017
insertion-smart 0 0 0.00000002
insertion-dump 0 0 0.000000019
selection 0 0 0.000000021
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 0 0 0.000000017
insertion-smart 0 0 0.000000019
insertion-dump 0 0 0.000000019
selection 0 0 0.00000002
quick 0 0 0.00000002
std 0 0 0.000000021
bubble 0 0 0.000000016
insertion-smart 0 0 0.000000019
insertion-dump 0 0 0.00000002
selection 0 0 0.000000019
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 0 0 0.000000017
insertion-smart 0 0 0.00000002
insertion-dump 0 0 0.000000018
selection 0 0 0.00000002
quick 0 0 0.000000019
std 0 0 0.000000021
bubble 0 0 0.000000017
insertion-smart 0 0 0.000000019
insertion-dump 0 0 0.00000002
selection 0 0 0.00000002
quick 0 0 0.000000019
std 0 0 0.00000002
bubble 1 0 0.000000023
insertion-smart 1 0 0.000000029
insertion-dump 1 0 0.00000002
selection 1 0 0.000000045
quick 1 0 0.000000018
std 1 0 0.000000026
bubble 1 0 0.000000017
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.000000019
selection 1 0 0.000000022
quick 1 0 0.000000019
std 1 0 0.00000002
bubble 1 0 0.000000016
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.00000002
selection 1 0 0.000000021
quick 1 0 0.00000002
std 1 0 0.000000021
bubble 1 0 0.000000017
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.000000019
selection 1 0 0.000000022
quick 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.000000019
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.000000019
selection 1 0 0.000000021
quick 1 0 0.00000002
std 1 0 0.00000002
bubble 1 0 0.000000017
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.00000002
selection 1 0 0.000000021
quick 1 0 0.000000019
std 1 0 0.00000002
bubble 1 0 0.000000017
insertion-smart 1 0 0.000000019
insertion-dump 1 0 0.000000019
selection 1 0 0.000000022
quick 1 0 0.000000019
std 1 0 0.00000002
bubble 1 0 0.000000017
insertion-smart 1 0 0.00000002
insertion-dump 1 0 0.00000002
selection 1 0 0.000000022
quick 1 0 0.000000018
std 1 0 0.00000002
bubble 1 0 0.000000017
insertion-smart 1 0 0.000000019
insertion-dump 1 0 0.000000042
selection 1 0 0.000000049
quick 1 0 0.000000037
std 1 0 0.000000061
bubble 1 0 0.000000034
insertion-smart 1 0 0.000000032
insertion-dump 1 0 0.000000019
selection 1 0 0.000000022
quick 1 0 0.000000019
std 1 0 0.00000002
bubble 10 81 0.000000408
insertion-smart 10 30 0.000000439
insertion-dump 10 37 0.000000208
selection 10 45 0.000000346
quick 10 52 0.000000375
std 10 36 0.000000187
bubble 10 54 0.000000254
insertion-smart 10 30 0.000000288
insertion-dump 10 22 0.000000163
selection 10 45 0.000000276
quick 10 45 0.000000303
std 10 21 0.000000151
bubble 10 54 0.000000265
insertion-smart 10 30 0.000000288
insertion-dump 10 26 0.000000151
selection 10 45 0.000000257
quick 10 33 0.000000278
std 10 26 0.000000168
bubble 10 72 0.000000436
insertion-smart 10 30 0.000000299
insertion-dump 10 36 0.000000168
selection 10 45 0.000000315
quick 10 28 0.000000223
std 10 34 0.000000173
bubble 10 72 0.000000304
insertion-smart 10 30 0.000000304
